content,time,title,url
摘要: 教程目录 1.1 CoolBlog开发笔记第1课:项目分析 1.2 CoolBlog开发笔记第2课:搭建开发环境 1.3 CoolBlog开发笔记第3课:创建Django应用 前言 我新书《Python爬虫开发与项目实战》出版了。 这本书包括基础篇，中级篇和深入篇三个部分，不仅适合零基础的朋友入门，,2017年6月26日,CoolBlog开发笔记第4课:数据库模型设计,https://i.cnblogs.com/EditPosts.aspx?postid=7079462
摘要: 教程目录 1.1 CoolBlog开发笔记第1课:项目分析 1.2 CoolBlog开发笔记第2课:搭建开发环境 前言 经过上一节我们已经创建了CoolBlog工程，但是关于CoolBlog的功能代码还没有写，Django只是帮助我们搭建好一个框架。在Django的思想中，希望我们将项目的功能分成一,2017年6月25日,CoolBlog开发笔记第3课:创建Django应用,https://i.cnblogs.com/EditPosts.aspx?postid=7077981
"摘要: 教程目录 1.1 CoolBlog开发笔记第1课:项目分析 前言 今天是CoolBlog开发笔记的第2课，我们将要讲解的是开发环境的搭建。俗话说""工欲善其事必先利其器""，Django开发中我们选择一些比较好用的开发工具大有裨益。 开发选择的操作系统为win7 x64旗舰版(比较普遍，我也想用Mac)",2017年6月24日,CoolBlog开发笔记第2课:搭建开发环境,https://i.cnblogs.com/EditPosts.aspx?postid=7072518
摘要: 首先说一下CoolBlog开发笔记是我制作的《Django实战项目》系列教程基础篇的内容，使用Django来开发一个酷炫的个人博客，涉及的知识包括项目的分析，环境的搭建，模型和视图定义等等内容。为了给大家打打气，咱们看一下最终做出的效果，如下图所示。 图1.1 效果图 是不是已经迫不及待了呢？不要着,2017年6月23日,CoolBlog开发笔记第1课:项目分析,https://i.cnblogs.com/EditPosts.aspx?postid=7070135
"摘要: 前言 这次分享的文章是我《Python爬虫开发与项目实战》基础篇 第七章的内容，关于如何手工打造简单分布式爬虫 (如果大家对这本书感兴趣的话，可以看一下 试读样章),下面是文章的具体内容。 本章讲的依旧是实战项目，实战内容是打造分布式爬虫，这对初学者来说，是一个不小的挑战，也是一次有意义的尝试。这次",2017年6月15日,纯手工打造简单分布式爬虫(Python),https://i.cnblogs.com/EditPosts.aspx?postid=7016540
"摘要: 早上6点多起床了，第一次起这么早，昨天晚上12点多，看到了一则紧急通知，勒索软件通过微软“永恒之蓝""漏洞针对教育网进行了大规模的攻击，而且有很多同学中招。中招后的结果如下图所示。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 下面看一下紧急通知的内容： 关于防范ONION勒",2017年5月13日,"“永恒之蓝""漏洞的紧急应对--毕业生必看",https://i.cnblogs.com/EditPosts.aspx?postid=6848935
摘要: 给出两个多项式： 大家都很清楚多项式相加，即为相同指数项对应相加。那我们如何使用程序来描述两个多项式相加呢？大家首先想到的是用数组描述，多项式的指数使用下标来表示，前面的系数为对应数组中的值。f1(x)表示如下： f2(x)表示如下： 其实只要写个for循环，相同下标的相加即可，非常简单。下面问题来,2017年5月11日,从多项式相加看线性结构,https://i.cnblogs.com/EditPosts.aspx?postid=6839318
摘要: 在做Windows平台软件逆向时，Ollydbg是极其常用的逆向工具，动态调试功能非常强大。在调试过程中，断点的使用有助于确定关键的破解位置，今天讲解的内容是OD常用断点中的CC断点。 CC断点有很多名称，比如普通断点、F2断点或者int3断点，每个名称都有它的来源。下面我们以crackme_01.,2017年5月6日,OD常用断点之CC断点,https://i.cnblogs.com/EditPosts.aspx?postid=6815988
"摘要: 从三月份开始，继续更新技术文章。一个月没有更新技术文章了，这一个月有一部分时间是在休息，另一部分时间是在学习汇编和操作系统，沉淀底层和逆向方面的技术。（我的新书《Python爬虫开发与项目实战》出版了，大家可以看一下样章） 今年年初，为了玩一下 kali NetHunter,入手了一部1加3T手机。",2017年3月1日,打造“黑客“手机--Kali Nethunter,https://i.cnblogs.com/EditPosts.aspx?postid=6486777
摘要: 已经有一个月没有更新博客了，一方面是因为平时太忙了，另一方面是想积攒一些干货进行分享。最近主要是做了一些开源项目的源码分析工作，有c项目也有python项目，想提升一下内功，今天分享一下tinyhttpd源码分析的成果。tinyhttpd是一个非常轻量型的http服务器，c代码500行左右，可以帮助,2017年1月18日,HTTP服务器的本质:tinyhttpd源码分析及拓展,https://i.cnblogs.com/EditPosts.aspx?postid=6296387
